price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
0.3,,"Shopee | Games, Books & Hobbies | Games | Board Games","Cardfight Vanguard D-BT10/082 C Sage of Robust, Stogron (JP) | Shopee Malaysia",5,ping_ooi.,0.3
1.6,,Shopee | Cameras & Drones | Security Cameras & Systems | CCTV & IP Cameras,HIKVISION Analog Connector CCTV DC Jack Plug Male Power Socket Wire Jack CCTV Plug Camera Connector Cable | Shopee Malaysia,4.9,hikvisionmy.os,0.48
16.5,"KL City, Kuala Lumpur",Shopee | Men Clothes | Sets | Occupational Attire,Reflective Vest High Visibility Safety Clothing Multi Pockets Fluorescent Green Security L / XL [T&W Hardware] | Shopee Malaysia,5,tw_estore,11.95
100,"KL City, Kuala Lumpur",Shopee | Men Shoes | Loafers & Slip-Ons | Loafers & Boat Shoes,SCL Kasut Kulit Lelaki Men's Casual Loafer Boat Driving Shoes Slip On Loafer Lightweight Big Size 38-47 | Shopee Malaysia,4.8,sclshoes.my,29.98
0.49,,Shopee | Gaming & Consoles | Console Accessories | PC & Mobile Accessories,1 Pair(2pcs) Sweatproof Mobile Phone Game Finger Sleeve Controller Breathable Non Slip Touch Screen sarung tangan gaming | Shopee Malaysia,4.9,gadget_factory,0.49
0.75,"KL City, Kuala Lumpur",Shopee | Gaming & Consoles | Top-ups & Reloads,【大量现货秒发】RM0.66=10 Dou币 抖音充值/抖币充值 Dou音短视频充值 | Shopee Malaysia,5,810xoxo8jg,0.75
129,"KL City, Kuala Lumpur",Shopee | Muslim Fashion | Muslimin Wear | Baju Melayu,(PART 1)Baju Melayu Dewasa Sakura Cotton Silk Baju Melayu Cutting Modern Fit With Exclusive Box & PERCUMA BUTANG | Shopee Malaysia,5,mayapharm88,129
3.31,,Shopee | Gaming & Consoles | Console Accessories | PC & Mobile Accessories,【The New Product】BlueWow Snake/Cat Gaming Finger Sleeve Breathable Fingertips For PUBG Mobile Games Touch Screen Finger Cots Cover Sensitive Mobile Touch COD | Shopee Malaysia,4.8,bluewow.my,1.48
79,,Shopee | Women Clothes | Set Wear | Others,[ Ready Stock ] Widuri Kurung by Haurabelle | Shopee Malaysia,4.9,haurabellehq,45
15.38,"KL City, Kuala Lumpur",Shopee | Health & Beauty | Eye Care | Eyebrow & Eyelash Serum,Hot Sale#SKIK Eye Firming Anti-Wrinkle Essence Oil Fade Dark Circles Fine Lines Tik Tok Same Style 3.11 Wfy | Shopee Malaysia,4.8,chen008.my,14
28,"KL City, Kuala Lumpur",Shopee | Men Clothes | Plus Size | Oversize T-Shirts,ZEKE Cotton T Shirt Man Oversized 200GSM Combed Cotton Plain Color Plus Size T-shirt Lelaki Half Sleeve High Collar Tshi | Shopee Malaysia,4.9,zekefashion,17.92
2063.74,,Shopee | Home Appliances | Landline Phones | Fax Machines,🍁包邮（限时特惠）【二手9成新】兄弟7360黑白激光打印复印扫描传真话柄多功能一体A4打印机 71GL | Shopee Malaysia,No ratings yet,hhhc_6677,1031.87
22,"KL City, Kuala Lumpur",Shopee | Sports & Outdoor | Women's Sports Shoes | Running Shoes,🚀Fast Ship READY STOCK🚀WOMEN RUNNING SPORT SHOES SNEAKERS | Shopee Malaysia,4.9,sd_plastic.kl,11
7,,Shopee | Sports & Outdoor | Women's Sports Shoes | Running Shoes,[CUTICATEMY] Footful Metal 12Pcs Replacement Running Spikes for Sports Track Shoes 7mm-13mm | Shopee Malaysia,4.8,cuticate.my,3.26
1,,"Shopee | Games, Books & Hobbies | Games | Others",Spinning toy/ door gift/goodies gift | Shopee Malaysia,5,love_gift.store,0.28
