price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
,"KL City, Kuala Lumpur","Home & Living | Housekeeping & Laundry | Brooms, Mops & Sweepers","B.S.B NEW,254cm Long Microfiber Duster,with Bendable Head, Washable",4.8,bedsheetbestseller,7.89
50.0,,Women Clothes | Set Wear | Others,***SN*** PPK NEW (LENGAN PANJANG/LONG SLEEVE) ❦[NURSE UNIFORM JURURAWAT]♦️ KKM & PUTIH NILA [READY STOCK] ZIP & BUTTON,4.9,goodstuffer,50.0
11.0,"KL City, Kuala Lumpur",Baby & Toys | Baby Clothing | Nightwear,Kids pyjamas Baju Tidur budak Baju tidur kanak boy pyjamas Baju tidur boy Baju tidur baby pyjamas baby,4.8,babybaju,9.46
39.0,,Women Clothes | Traditional Wear | Others,Bycikdara Pleated Skirt Batik | Frisket | Plated | Bukan Pario,4.9,bycikdara,34.85
39.9,,Women Clothes | Maternity Wear | Innerwear,Women Nursing Maternity Breastfeeding Bra for MOMO & Real Bubee Breast Pump - Button Design,4.9,momohouse.os,4.19
29.9,"KL City, Kuala Lumpur",Women Clothes | Maternity Wear | Maternity Bottoms,Pregnancy Long Pants Maternity Legging Elastic Cotton Mummy High Waist Stomach Support Pants Legging Mengandung,4.9,ecobb.os,19.9
65.0,"KL City, Kuala Lumpur",Home Appliances | Irons & Garment Steamers | Garment Steamers,LAST 100 UNITS CLEARANCE [PREMIUM QUALITY] ITATA Portable Stand Type Garment Steamer Clothes Iron Seterika Baju Pakaian,4.7,pro_shop,56.9
19.95,,Groceries & Pets | Milk & Chocolate Drink | Chocolate & Malt,Milo Activ-Go 1Kg,4.9,lotuss.fbs,17.75
0.98,,Health & Beauty | Others | Others,Amber Glass Frosted Dripper Bottle For Essential Oil / Botol Kaca / Aromatherapy Oil 5ml 10ml 15ml 20ml 30ml,4.9,ppackaging52,0.56
13.9,,Health & Beauty | Others | Others,"Skin Tag, Mole, Wart & Corn Removal 8ml - Buang Tahi Lalat, Ketuat, Ketuat Kaki, Kutil",4.9,zfs0jezeyy,13.9
2.77,,Baby & Toys | Girls Fashion | Girl Socks,Thick Warm Animal Terry Socks For Children Autumn Winter Baby Socks For Girls,4.9,hui_xin.my,2.01
18.9,,Home Appliances | Irons & Garment Steamers | Dry Iron,PROMO ! ROYAL DRY IRON 1.5 Meter 1000 W / 230 V 50Hz SWIVEL CORD YPF2003A,4.8,ezdiyshop,18.9
3.0,,Women's Bags | Tote Bags | Others,DR Beg Galas Wanita Lut Sinar Hand Bag Carry Handle Transparent With Printed Frame Glossy Colour Waterproof Large Size,4.8,dapoq.chef,0.49
10.0,,Muslim Fashion | Inner | Inner Tudung,"Inner WARDA TALI Gred A Jersey Cotton - Inner Snowcap Tie Back, Anak Tudung, Scarf, Kain Sejuk, Memeri, Harga Borong",4.9,hargabaek,3.99
3.79,,Men Clothes | Sports Wear | Jerseys,Adult / Kid Team Sports Football Vest Training Soccer Basketball Ball Game Tournament Competition Group Shirt Jersey Bib,4.9,uniquedesignmalaysia,3.79
7.99,,Sports & Outdoor | Badminton | Others,Wilson Pro Comfort Overgrip Tennis Badminton (100% Authentic / Thin grip) (PRICE FOR 1 PIECE),4.9,attactic,7.99
1.9,,Home Appliances | Home Entertainment | Amplifiers & Receivers,۞3.5mm Male AUX Audio Plug Jack To USB 2.0 Female Converter Cable Cord Car,4.3,loveshopping1.my,1.31
1.19,,Health & Beauty | Personal Pleasure | Condoms & Lubricants,[ READY STOCK ] WET STORE Dotted Ripped Super Thin Adult Toy Use Latex Spike Condom Silicone Kondom Berduri - 1pcs,4.8,wet.storemy,0.19
79.0,,Men Shoes | Sneakers | Low Tops,Kasut Kanvas Kasual Casual Men Shoes Men Canvas Sport Shoes Classic Men Sneakers Comfortable Breathable Shoes,4.7,at617144761.my,39.49
9.9,"KL City, Kuala Lumpur",Men Clothes | Sports Wear | Jerseys,【BUDAK】 BUDAK JERSEY-Jersey EPL Budak (7-14 thn) EB,4.9,csmart9390,9.9
110.0,,Sports & Outdoor | Badminton | Badminton Shuttlecocks,Yonex Aerosensa 30 Badminton Feather Shuttlecock (12 In 1),5,yonex.os,110.0
15.9,,Mobile & Accessories | Mobile Phones | Other Brands,PHONE/ANDROID STICKER WRAP PHONE BLACK MATTE,4.8,dragonwrappinghub,15.9
1.0,,Groceries & Pets | Bakery | Breads,ROTI LEMBUT GEBU BY SYAMSYI'S KITCHEN🔥FRESH FROM HOT OVEN🔥,4.9,syamsyiskitchen,1.0
12.9,,Groceries & Pets | Household Supplies | Facial Tissues,SMOLBEAN Bamboo Tissue 4ply (300's x 1 Pack) Extra Soft | Extra Absorbent | Facial Tissue | Kitchen & Bathroom | Wipe,4.9,smolbean.os,0.75
2.0,"KL City, Kuala Lumpur",Mobile & Accessories | Cases & Covers | iPhone Cases & Covers,Apple iPhone 6 6s 11 Pro XR XS 8 7 Plus 5s 5 SE 6Plus 6sPlus 7Plus 8Plus X XS Max 11 Pro 11ProMax 12 Pro Max 12 mini XR Shockproof Armor Clear Transparent Simple Soft Phone Cases,4.8,lucky.fashion.buy.my,1.0
130.0,,Women Clothes | Set Wear | Others,READYSTOCK 🇲🇾 SET KEBAYA PAYET SABRINA + INNER + KAIN PARIO,4.9,kebayanusantara,130.0
13.9,,Men Clothes | Suits | Others,SINGLET SLIMFIT ~Slim lift men body shaper (singlet cover boroi lelaki),4.7,promosijamtangan,13.9
9.5,,Health & Beauty | Personal Care | Adult Diapers,🔥🔥🔥diapers dewasa(tape) reject kilang🔥🔥🔥,4.8,pamperstermurah,9.5
112.0,"KL City, Kuala Lumpur",Home & Living | Lighting | Portable Lighting,Auoyo Outdoor Pillar Lights Solar Charging IP65 Waterproof Column Lamp For Courtyard Fence Column Post Lights Courtyard Lamp Headlight Pillar Fence Post Garden lights 2 Colors,4.7,auoyo.os,42.9
4.5,,Health & Beauty | Sun Care | Body Sunscreen & After Sun,MAYCREATE Whitening Sunscreen Spray UV Protection Isolation,4.9,jpro_online,3.5
,"KL City, Kuala Lumpur",Men Clothes | Pants | Joggers & Sweatpants,READY STOCK quality  A A seluar lelaki mens UNISEX VIRAL JOGGERS SLACK PANTS 🔥🔥,4.8,reduanenterprise95,12.87
3.99,,Home & Living | Kitchen & Dining | Tableware,Ready Stock Swedish Design Dinner Plate / Side Plate / Deep Plate / Dinner Bowl / Rice Bowl Glassware / Tempered Glass,4.9,livingspace,3.99
15.0,,"Automotive | Car Replacement Parts | Body, Frame & Bumpers",1Pcs Myvi Aruz Bezza Alza Axia Viva Bumper Fender Small Clip Klip Bumper,4.8,ccstore1375,0.12
200.0,"KL City, Kuala Lumpur",Sports & Outdoor | Men's Sports Shoes | Badminton Shoes,Ready Stock Plus Size 38-48 Men's Sports Shoes Kasut Badminton Kasut Sukan Outdoor Shoes Breathable Leather Shoes,4.8,originalshoes1.my,28.0
3289.0,"KL City, Kuala Lumpur",Computer & Accessories | Laptops,"HP 15S-EQ3061AU / 15S-EQ3062AU / 15S-EQ3063AU Notebook (15.6"" FHD/R5-5625U/8GB/512GB)[Free Touch N Go RM50]",4.9,hp.onetech,2045.0
145.0,"KL City, Kuala Lumpur",Fashion Accessories | Hats & Caps | Caps,Snapback & Baseball Cap Nariyah,4.9,thecapalhq,145.0
3899.0,"KL City, Kuala Lumpur",Computer & Accessories | Laptops,"ASUS TUF GAMING F15 FX506L- HHN080W / HBHN334W (i5-10300H/8GD4/512GB SSD/15.6""FHD 144Hz/GTX1650 4GD6/W11/2YW)",5,asus.os.justit,2969.0
25.0,,Mobile & Accessories | Others | Others,ROCK N ROLL 3500PUFF,5,projectvape,25.0
99.9,,Watches | Men's Watches | Business & Casual,[🐼PANDA PROMO🐼] G One Piece Dragon Ball Digital LED Sports Men Women Kid Unisex Watch Jam Tangan Lelaki Wanita,4.7,panda2mall,1.5
96.65,"KL City, Kuala Lumpur",Women Clothes | Sleepwear & Pajamas | Pajamas,Short Sleeve Women's Lace Edge Lapel Thin Leopard Print Pajamas Summer Thin Korean Satin Chiffon Sleepwear,5,18757857053.my,54.99
0.9,,"Home & Living | Bath | Mats, Towels & Robes",High-Density Coral Fleece Square Towel / Children's Face Towel / Kitchen Cleaning Rag / Handkerchief / Tuala Kain Buruk,4.9,terance111,0.81
54.99,"KL City, Kuala Lumpur",Home & Living | Kitchen Storage | Kitchen Racks & Organizers,Multipurpose Rack  - Kitchen Rack Kitchen Organizers Storage Rack Dish Rack Rak Pinggan Rak Baju Plate Rack,4.8,gthome32,54.99
147.99,,Baby & Toys | Diapers & Potties | Disposable Diapers,MamyPoko Extra Dry Pants-New Packing (M48x4packs) (L38x4packs) (XL32x4packs) (XXL26x4packs),5,nicefamilymarket,147.99
0.1,,Groceries & Pets | Household Supplies | Liquid Detergent,"New Sakura beads 8g, Aloe Vera 8g,Ready stock, Sabun viral Terbaru sakura/Aloe vera 8g,laundry Condensation Beads",4.8,beabeeenterprise2228,0.1
0.17,,Automotive | Car Replacement Parts | Car Lights,Universal Car Halogen Bulb - T5 / T10 / T15 / 4038 / 1156 / 1141 / 1016 / T20 / T20 Amber /,4.9,savecostonlinestores,0.17
3599.0,"KL City, Kuala Lumpur",Cameras & Drones | Mirrorless Cameras | Mirrorless Cameras,CANON EOS R50 Kit ( RF-S 18-45mm IS STM ),No ratings yet,camworldcurve,3599.0
45.98,"KL City, Kuala Lumpur",Home & Living | Lighting | Portable Lighting,✨✨32M/22M/12M/7M Solar Lights LED Fairy String Lights Waterproof Solar Powered Strip String Light Soft PVC Light Tube Christmas Neon Fairy Lamp lampu Raya Solar for Garden Patio Tree Wedding Party Decor New Year Christmas Gift,4.8,brighten888.my,22.99
78.0,"KL City, Kuala Lumpur",Home & Living | Kitchen Storage | Kitchen Racks & Organizers,Kitchen Rack Dish Rack Rak Dapur Rak Pinggan With Cabinet Rak Sinki Kabinet Dish Drainer Racks,4.9,chosmo_mall,49.92
26.0,"KL City, Kuala Lumpur",Fashion Accessories | Hats & Caps | Hats,2021 Summer New Classic Old Flower Fisherman Hat Unisex Letter Ribbon Fashion Trend Sun Visor Hat,4.6,zmg.my,26.0
1.5,,Women Shoes | Others | Others,Strip heel stick care for foot,5,geri5588,1.5
119.0,"KL City, Kuala Lumpur",Women Clothes | Sleepwear & Pajamas | Pajamas,Sliptosleep - Breakfast pajamas set - baju tidur cotton satin,5,sliptosleep_malaysia,119.0
12.0,"KL City, Kuala Lumpur",Women Clothes | Maternity Wear | Maternity Bottoms,SummerGlitz Maternity Palazzo Plus Size Pants 4XL Pocket / Seluar Mengandung Palazo Poket / Muslimah Pregnant Pants,4.9,summerglitzfashion,12.0
5.9,"KL City, Kuala Lumpur",Men Clothes | T-shirts & Singlets | T-Shirts,TLC t shirt 916 gold borong murah2 harga kilang t shirt lelaki murah baju tshirt men t-shirt cotton lengan pendek unisex,4.7,toplabels,5.9
3.0,,Health & Beauty | Brushes & Beauty Tools | Makeup Bags & Organiser,Make up zip Pouch Make up Cosmetic bag travel zip pouch dompet. up,4.9,lng_premium_enterprise,0.83
119.0,"KL City, Kuala Lumpur",Women Clothes | Traditional Wear | Ethnic Wear,MASYARABIA Kurung Embun Sulam In Qaseh,5,masyarabia,119.0
999.0,,Health & Beauty | Skincare | Gift Set,(GWP - Not for Sale) Japanese Bowl Set - Blue - Gimmick,4.9,colgate.os,999.0
6.8,,Mobile & Accessories | Mobile Phones | Other Brands,oppo a5s a7 a12 a52 a92 a15 a15s F9 F11 case astronaut liquid silicone straight edge protective cover phone case,4.7,temple7777777.my,6.46
45.9,"KL City, Kuala Lumpur",Men Clothes | Suits | Suit Sets,KEMEJA KRS NO.4 LENGAN PANJANG BAJU KEMEJA UNISEX BAJU PERSATUAN KADET REMAJA SEKOLAH (KRS NO.4),5,pasaranekonomiberjaya,45.9
36.0,,Health & Beauty | Personal Care | Others,[Ready Stock] Lulus GMP Original Best Selling DR MAX 100% ORIGINAL ubat kuat untuk lelakii tahan lama bersama men health,4.8,sefarra.store,36.0
39.0,"KL City, Kuala Lumpur",Women Clothes | Skirts | Others,✨Ready Stock✨B&M PENCIL SKIRT/ SKIRT LONG/ SKIRT KNITTED/ Good Quality /Skirt Murah,4.9,,15.88
0.2,,Health & Beauty | OTC Medicine | Traditional Medications,Pueraria Mirifica Kapsul 100% Natural Harga Direct Kilang,4.8,pengilangherba,0.18
